review,rating,date,bank,source
I need a support the app is not working,5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
Bast bank of ethiopia,5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
Good,5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
The worst App i have never seen like this before,1,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
Wweeeer,4,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
Infinx,5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
Great service,5,2024-11-12,Bank of Abyssinia Mobile,Google Play Store
👍,5,2024-11-11,Bank of Abyssinia Mobile,Google Play Store
This app is not available on all android versions and some times it is not functional.,1,2024-11-08,Bank of Abyssinia Mobile,Google Play Store
senayt Mesfin,4,2024-11-08,Bank of Abyssinia Mobile,Google Play Store
Bad app vety bad.,1,2024-11-07,Bank of Abyssinia Mobile,Google Play Store
Nice,5,2024-11-06,Bank of Abyssinia Mobile,Google Play Store
Abessnya Banke,5,2024-11-05,Bank of Abyssinia Mobile,Google Play Store
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,Bank of Abyssinia Mobile,Google Play Store
Okay,5,2024-11-03,Bank of Abyssinia Mobile,Google Play Store
Professional on banking app,5,2024-11-01,Bank of Abyssinia Mobile,Google Play Store
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27,Bank of Abyssinia Mobile,Google Play Store
አይሰራም አስተካክሉት,5,2024-10-26,Bank of Abyssinia Mobile,Google Play Store
Please try another because this app doesn't feet the need of this generation,1,2024-10-25,Bank of Abyssinia Mobile,Google Play Store
Good,4,2024-10-25,Bank of Abyssinia Mobile,Google Play Store
Fast transfer,5,2024-10-24,Bank of Abyssinia Mobile,Google Play Store
"What's up I can't log in, what's wrong",5,2024-10-22,Bank of Abyssinia Mobile,Google Play Store
Amrumehamed,1,2024-10-21,Bank of Abyssinia Mobile,Google Play Store
Good,5,2024-10-19,Bank of Abyssinia Mobile,Google Play Store
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,Bank of Abyssinia Mobile,Google Play Store
Very good,5,2024-10-18,Bank of Abyssinia Mobile,Google Play Store
ደደገነሐ,5,2024-10-15,Bank of Abyssinia Mobile,Google Play Store
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-14,Bank of Abyssinia Mobile,Google Play Store
A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,Bank of Abyssinia Mobile,Google Play Store
Good App,4,2024-10-12,Bank of Abyssinia Mobile,Google Play Store
Best app to me,5,2024-10-11,Bank of Abyssinia Mobile,Google Play Store
BOA,5,2024-10-11,Bank of Abyssinia Mobile,Google Play Store
Abdulkadir,5,2024-10-11,Bank of Abyssinia Mobile,Google Play Store
Bad,1,2024-10-10,Bank of Abyssinia Mobile,Google Play Store
If it is possible I would gove0 star,1,2024-10-08,Bank of Abyssinia Mobile,Google Play Store
Nise mobile bankig,4,2024-10-05,Bank of Abyssinia Mobile,Google Play Store
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04,Bank of Abyssinia Mobile,Google Play Store
Ok,5,2024-10-04,Bank of Abyssinia Mobile,Google Play Store
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04,Bank of Abyssinia Mobile,Google Play Store
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,Bank of Abyssinia Mobile,Google Play Store
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-04,Bank of Abyssinia Mobile,Google Play Store
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,1,2024-10-04,Bank of Abyssinia Mobile,Google Play Store
Good,3,2024-10-03,Bank of Abyssinia Mobile,Google Play Store
Worest app,1,2024-10-03,Bank of Abyssinia Mobile,Google Play Store
The worest app ever,1,2024-10-03,Bank of Abyssinia Mobile,Google Play Store
አሪፍ ነው በርቱልን,5,2024-10-03,Bank of Abyssinia Mobile,Google Play Store
Wwwerrr,5,2024-10-02,Bank of Abyssinia Mobile,Google Play Store
ጀማል ውቀቱ,5,2024-09-30,Bank of Abyssinia Mobile,Google Play Store
Great For Financial company,5,2024-09-30,Bank of Abyssinia Mobile,Google Play Store
Very easy to use,5,2024-09-30,Bank of Abyssinia Mobile,Google Play Store
The App's crash always.. Error.....,3,2024-09-27,Bank of Abyssinia Mobile,Google Play Store
This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,1,2024-09-26,Bank of Abyssinia Mobile,Google Play Store
nice,5,2024-09-26,Bank of Abyssinia Mobile,Google Play Store
Great UI and seamless UX. I love it!!,5,2024-09-25,Bank of Abyssinia Mobile,Google Play Store
That's too good application but try to add more alternatives and futures or possibilitys for your customers,3,2024-09-25,Bank of Abyssinia Mobile,Google Play Store
It's easy used to operate program and secured 👍👍,4,2024-09-25,Bank of Abyssinia Mobile,Google Play Store
I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,1,2024-09-21,Bank of Abyssinia Mobile,Google Play Store
